Source,Target,Type,Id,Label,timeset,Weight
862,70,Undirected,530,,,9
862,236,Undirected,531,,,3
863,237,Undirected,532,,,9
863,70,Undirected,533,,,13
863,236,Undirected,534,,,2
864,238,Undirected,535,,,2
864,239,Undirected,536,,,1
864,117,Undirected,537,,,3
864,240,Undirected,538,,,2
864,241,Undirected,539,,,1
864,236,Undirected,540,,,2
865,126,Undirected,541,,,6
865,242,Undirected,542,,,4
865,236,Undirected,543,,,2
866,70,Undirected,544,,,15
866,236,Undirected,545,,,5
867,243,Undirected,546,,,2
867,70,Undirected,547,,,6
867,236,Undirected,548,,,5
868,244,Undirected,549,,,9
868,70,Undirected,550,,,10
868,236,Undirected,551,,,5
869,70,Undirected,552,,,10
869,236,Undirected,553,,,5
870,60,Undirected,554,,,9
870,245,Undirected,555,,,8
870,70,Undirected,556,,,9
870,22,Undirected,557,,,1
870,160,Undirected,558,,,6
870,236,Undirected,559,,,5
